Sangwei Lu
Vasudha Paramasivan
Zachary Pardos
Christine Parlour
Loren Partridge
Panos N. Patatoukas
Nipam Patel
David A. Patterson
James L. Patton
Markus Pauly
Vern Paxson
P. David Pearson
Nancy Lee Peluso
J. Theodore Peձa
Kaiping Peng
Edward Penhoet
Yuval Peres
Laura Perez
Saul Perlmutter
Daniel H. Perlstein
Juan M. Pestana
Andrea L. Peterson
Mark Peterson
Norman E. Phillips
Beth Piatote
Alexander Pines
Jaleh Pirnazar
Albert P. Pisano
Karl S. Pister
James Pitman
Elijah Polak
Michael Pollan
Kenneth A. Polse
Kameshwar Poolla
James Porter
Carolyn Porter
Benjamin Porter
Daniel Portnoy
Alison Post
Jack M. Potter
Malcolm Potts
Matthew Potts
Thomas M. (Zack) Powell
James L. Powell
Graham H. Powell
Jerry A. Powell
Mary E. Power
Alexey Pozdnukhov
Ndola Prata
John M. Prausnitz
Gautam Premnath
William Prinzmetal
Jean-Pierre Protzen
Lisa A. Pruitt
Stanley G. Prussin
Charles C. Pugh
Elizabeth Purdom
David Pyle
Zi Qiang Qiu
Peter Quail
Eliot Quataert
Jan M. Rabaey
Eran Rabani
Jose Rabasa
Sophia Rabe-Hesketh
Matthew Rabin
Paul Rabinow
Clayton J. Radke
John D. Radke
Ronald Rael
David Ragland
Leigh Raiford
Surjeet Rajendran
Eric P. Rakowski
Harsha Ram
Kannan Ramchandran
R. Ramesh
Julio Ramos
Michael Ranney
Satish Rao
Michael Rape
Steven Raphael
Kristiana Raube
Irmengard Rauch
David H. Raulet
Gordon Rausser
Isha Ray
Raka Ray
Sugata Ray
Kenneth N. Raymond
James W. Rector
Carol Redmount
Michael Reich
Carolina Reid
Jeffrey A. Reimer
Arthur Reingold
Paul Renne
Nicolai Reshetikhin
Fraydoun Rezakhanlou
Richard A. Rhodes
Kenneth A. Ribet
Paul L. Richards
Mark Richards
Marc A. Rieffel
Michael Riemer
Rhonda Righter
Donald Riley
Jasper Rine
Donald Rio
Karlene Roberts
James Robinson
